{'w': '2', 'numGen': '1000', 'K': '4', 'mutRate': '0.95', 'popSize': '100', 'N': '10', 'seedSolution': '11001111000000000000'}
Initial fitness: 0.0
2
Processing Geneeration 3, max fit: 0.0, max genome: 0b11001111000000000000
Processing Geneeration 316, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100011100
Processing Geneeration 317, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 318, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 319, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 320, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011110
Processing Geneeration 321, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 322, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011110
Processing Geneeration 323, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 324, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 325, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 326, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100001010
Processing Geneeration 327, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011110
Processing Geneeration 328, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011110
Processing Geneeration 329, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 330, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 331, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 332, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 333, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 334, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 335, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101000010
Processing Geneeration 336, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 337, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 338, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 339, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 340, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 341, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101000010
Processing Geneeration 342, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 343, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011110
Processing Geneeration 344, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 345, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 346, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 347, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100001100
Processing Geneeration 348, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 349, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100001100
Processing Geneeration 350, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 351, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 352, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 353, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010100
Processing Geneeration 354, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 355, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 356, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 357, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100001100
Processing Geneeration 358, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 359, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 360, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100101010100
Processing Geneeration 361, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 362, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 363, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 364, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 365, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 366, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 367, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100101100
Processing Geneeration 368, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100010000
Processing Geneeration 369, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 370, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011100
Processing Geneeration 371, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 372, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 373, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 374, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 375, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 376, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100001100
Processing Geneeration 377, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 378, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 379, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 380, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 381, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 382, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 383, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 384, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 385, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100001010
Processing Geneeration 386, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 387, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100101011100
Processing Geneeration 388, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 389, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 390, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 391, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 392, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 393, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000010
Processing Geneeration 394, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 395, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 396, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 397, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101010100
Processing Geneeration 398, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 399, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 400, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011100
Processing Geneeration 401, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100100010
Processing Geneeration 402, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100011010
Processing Geneeration 403, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 404, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111110100000010
Processing Geneeration 405, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 406, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011101
Processing Geneeration 407, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 408, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 409, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 410, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010100000010
Processing Geneeration 411, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011101
Processing Geneeration 412, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100100010
Processing Geneeration 413, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 414, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 415, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 416, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 417, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 418, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 419, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 420, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 421, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 422, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 423, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 424, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 425, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 426, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 427, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 428, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 429, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 430, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 431, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000010
Processing Geneeration 432, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 433, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011101
Processing Geneeration 434, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011101
Processing Geneeration 435, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 436, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011101
Processing Geneeration 437, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000010010
Processing Geneeration 438, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101011101
Processing Geneeration 439, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000010
Processing Geneeration 440, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 441, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 442, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 443, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 444, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 445, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 446, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100111010
Processing Geneeration 447, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 448, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 449, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000011
Processing Geneeration 450, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 451, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010010
Processing Geneeration 452, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100111110
Processing Geneeration 453, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 454, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 455, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000010
Processing Geneeration 456, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100111010
Processing Geneeration 457, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001100010
Processing Geneeration 458, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 459, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 460, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000010
Processing Geneeration 461, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 462, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 463, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 464, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000000
Processing Geneeration 465, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 466, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 467, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 468, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 469, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 470, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 471, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 472, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 473, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 474, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 475, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 476, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 477, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000010
Processing Geneeration 478, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 479, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 480, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 481, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 482, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 483, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 484, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 485, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000010
Processing Geneeration 486, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 487, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 488, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 489, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 490, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 491, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 492, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000010
Processing Geneeration 493, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 494, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 495, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 496, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 497, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 498, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001010010
Processing Geneeration 499, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001010010
Processing Geneeration 500, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 501, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001010010
Processing Geneeration 502, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 503, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 504, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 505, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 506, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 507, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 508, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010011
Processing Geneeration 509, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 510, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 511, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 512, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 513, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110001110
Processing Geneeration 514, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 515, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 516, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 517, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 518, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 519, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 520, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 521, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 522, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000001000000
Processing Geneeration 523, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 524, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 525, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 526, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 527, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 528, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 529, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 530, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 531, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 532, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 533, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 534, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 535, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 536, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000011
Processing Geneeration 537, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 538, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 539, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 540, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111110110000110
Processing Geneeration 541, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111110110000110
Processing Geneeration 542, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010111
Processing Geneeration 543, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 544, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 545, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 546, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 547, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 548, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 549, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000011
Processing Geneeration 550, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 551, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 552, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 553, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 554, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111010110000110
Processing Geneeration 555, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 556, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 557, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000110000110
Processing Geneeration 558, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 559, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111001100000011
Processing Geneeration 560, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 561, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 562, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 563, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 564, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 565, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 566, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000110
Processing Geneeration 567, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 568, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000110
Processing Geneeration 569, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010000110
Processing Geneeration 570, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 571, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 572, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 573, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 574, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010000110
Processing Geneeration 575, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 576, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010000110
Processing Geneeration 577, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000000000110
Processing Geneeration 578, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010000110
Processing Geneeration 579, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010000110
Processing Geneeration 580, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 581, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 582, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100001110
Processing Geneeration 583, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 584, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 585, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 586, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000110
Processing Geneeration 587, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 588, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100000
Processing Geneeration 589, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 590, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 591, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 592, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 593, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000111
Processing Geneeration 594, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 595, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010011
Processing Geneeration 596, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010011
Processing Geneeration 597, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 598, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000111
Processing Geneeration 599, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 600, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 601, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000110
Processing Geneeration 602, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 603, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 604, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000111
Processing Geneeration 605, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 606, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000111
Processing Geneeration 607, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 608, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000111
Processing Geneeration 609, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 610, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 611, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 612, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 613, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000011100010
Processing Geneeration 614, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 615, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000101000011
Processing Geneeration 616, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111100100000111
Processing Geneeration 617, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 618, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100010011
Processing Geneeration 619, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 620, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 621, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000010100010
Processing Geneeration 622, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
Processing Geneeration 623, max fit: 5.46416102702, max genome: 0b1100110011001100110011001111000100000011
